Mes,Consumo_Energia_kWh,Residuos_kg
Enero,675.48,73.75
Febrero,300.89,36.58
Marzo,762.82,67.34
Abril,178.24,10.03
Mayo,479.73,56.3
Junio,554.82,58.21
Julio,123.88,24.19
Agosto,590.45,71.18
Septiembre,298.4,23.03
Octubre,105.85,11.25
Noviembre,825.24,77.81
Diciembre,239.93,23.48
Enero,961.49,89.9
Febrero,187.04,28.92
Marzo,862.74,71.79
Abril,756.76,65.52
Mayo,582.61,67.21
Junio,596.84,59.42
Julio,846.46,70.25
Agosto,619.62,51.88
Septiembre,734.11,77.92
Octubre,360.45,42.27
Noviembre,171.81,25
Diciembre,350.18,43.44
Enero,672.12,62.05
Febrero,288.56,40.3
Marzo,340.28,49.58
Abril,648.22,60.62
Mayo,254.02,30.97
Junio,441.51,42.79
Julio,990.57,87.69
Agosto,716.15,63.01
Septiembre,858.57,83.92
Octubre,128.89,15.26
Noviembre,383.91,42.02
Diciembre,948.62,96.11
Enero,888.73,80.93
Febrero,456.07,59.49
Marzo,923.09,82.4
Abril,321.96,38.97
Mayo,605.23,60.6
Junio,908.04,97.75
Julio,459.46,54.37
Agosto,558.57,84.69
Septiembre,181.82,29.14
Octubre,664.7,67.62
Noviembre,812.87,76.54
Diciembre,443.46,49.06
Enero,996.51,73.76
Febrero,874.7,80.48
Marzo,110.33,17.16
Abril,583.27,47.68
Mayo,340.14,36.45
Junio,491.29,48.75
Julio,508.35,68.87
Agosto,337.05,33.97
Septiembre,550.53,64.45
Octubre,883.47,101.01
Noviembre,368.6,34.29
Diciembre,237.56,21.79
Enero,786.26,63.36
Febrero,577.32,55.67
Marzo,100.51,17.83
Abril,936.19,90.99
Mayo,890.85,89.09
Junio,152.13,16.96
Julio,890.21,88.87
Agosto,537.39,54.57
Septiembre,162.29,24.7
Octubre,215.55,14.72
Noviembre,527.75,48.89
Diciembre,885.19,83.31
Enero,480.82,53.24
Febrero,756.94,84.01
Marzo,281.04,24.01
Abril,684.89,92.39
Mayo,494.29,47.98
Junio,302.23,35.24
Julio,404.28,39.45
Agosto,298.2,32.3
Septiembre,163.89,20.01
Octubre,914.88,83.53
Noviembre,873.67,89.59
Diciembre,702.08,72.22
Enero,292.81,47.51
Febrero,613.94,76.02
Marzo,525.4,57.79
Abril,271.37,18.89
Mayo,187.24,18.29
Junio,520.32,57.75
Julio,756.17,63.61
Agosto,188.58,5.61
Septiembre,462.36,40.83
Octubre,323.79,50.99
Noviembre,271.19,25.11
Diciembre,350.69,42.47
Enero,324.83,45.28
Febrero,875.21,80.38
Marzo,595.29,89.52
Abril,852.42,91.97
Mayo,972.1,106.54
Junio,249.68,24.28
Julio,537.08,57.48
Agosto,152.77,30.88
Septiembre,441.08,53.75
Octubre,805.66,77.9
Noviembre,509.51,35.52
Diciembre,995.88,104
Enero,600.19,60.1
Febrero,367.04,36.65
Marzo,971.84,83.82
Abril,773.18,70.95
Mayo,151.45,14.71
Junio,867.45,78.96
Julio,241.69,33.71
Agosto,267.24,31.92
Septiembre,635.53,61.37
Octubre,207.9,22.45
Noviembre,901.26,86.86
Diciembre,657.44,76.63
Enero,477.3,42.15
Febrero,941.24,85.12
Marzo,283.83,32.88
Abril,456.21,43
Mayo,704.52,67.73
Junio,776.68,82.65
Julio,165.29,5
Agosto,996.49,102.16
Septiembre,165.93,25.55
Octubre,939.93,96.01
Noviembre,892.78,91.46
Diciembre,241.97,25.28
Enero,850.37,79.11
Febrero,988.51,83.49
Marzo,688.58,83.26
Abril,369.44,42.13
Mayo,697.05,73.23
